Data, Casos, Mortes
26.fev.20, 1, 0
27.fev.20, 1, 0
28.fev.20, 1, 0
29.fev.20, 2, 0
01.mar.20, 2, 0
02.mar.20, 2, 0
03.mar.20, 2, 0
04.mar.20, 3, 0
05.mar.20, 8, 0
06.mar.20, 13, 0
07.mar.20, 19, 0
08.mar.20, 25, 0
09.mar.20, 30, 0
10.mar.20, 34, 0
11.mar.20, 52, 0
12.mar.20, 77, 0
13.mar.20, 98, 0
14.mar.20, 121, 0
15.mar.20, 200, 0
16.mar.20, 234, 0
17.mar.20, 291, 1
18.mar.20, 428, 4
19.mar.20, 621, 7
20.mar.20, 904, 11
21.mar.20, 1178, 18
22.mar.20, 1579, 25
23.mar.20, 1924, 34
24.mar.20, 2247, 46
